subject,height_cm,mass_kg,generic_height_cm,generic_mass_kg,scale_pelvis,scale_torso,scale_femur_r,scale_tibia_r,scale_talus_r,scale_calcn_r,scale_toes_r,scale_femur_l,scale_tibia_l,scale_talus_l,scale_calcn_l,scale_toes_l
S135,178.0,80.0,180.0,75.1646,0.9888888888888889,1.12,1.0606060606060606,0.9767441860465116,1.0980392156862746,1.0980392156862746,1.0980392156862746,1.073232323232323,0.9418604651162791,1.0980392156862746,1.0980392156862746,1.0980392156862746
S146,175.0,102.0,180.0,75.1646,0.9722222222222222,1.06,1.1616161616161615,0.9674418604651163,1.1764705882352942,1.1764705882352942,1.1764705882352942,1.1363636363636362,0.9534883720930233,1.1764705882352942,1.1764705882352942,1.1764705882352942
