muscle,muscle_label,perturb_deg,peak_delta_mean_pct,peak_delta_absmax_pct,min_delta_mean_pct,min_delta_absmax_pct,rom_delta_mean_pct,rom_delta_absmax_pct,peak_phase_absmax_pct_gait,min_phase_absmax_pct_gait
bifemlh_r,Biceps femoris LH,-5.0,-1.3273226844847388,1.360179213214042,-1.367600091363678,1.5323169272936261,-1.0874926027817085,1.9495981093453845,1.0,1.0
bifemlh_r,Biceps femoris LH,-2.0,-0.528134297588232,0.5446364988418118,-0.5565253637864394,0.6200094234524914,-0.3479479741676296,0.686848062908947,1.0,1.0
bifemlh_r,Biceps femoris LH,2.0,0.5268534109566727,0.5389647748146712,0.5655595641742212,0.6248059610462541,0.27683051235919415,0.6054597829160381,1.0,1.0
bifemlh_r,Biceps femoris LH,5.0,1.2992429885772572,1.3258146513602804,1.431604437878544,1.577089678560956,0.4338114149908705,1.2678849206582667,1.0,1.0
bifemsh_r,Biceps femoris SH,-5.0,0.0022018283217133316,0.008070978177613248,-0.8513197743232174,0.9330750141010431,27.920959401137576,30.609809330765366,2.0,0.0
bifemsh_r,Biceps femoris SH,-2.0,0.00047414695852123243,0.007026152942198642,-0.3276728677399278,0.3603016796683378,10.730139068628176,11.744493657130372,1.0,0.0
bifemsh_r,Biceps femoris SH,2.0,-0.0012242563963459315,0.007335801398002388,0.3105858115859279,0.34290234214882304,-10.191712683391325,11.099848294828073,1.0,0.0
bifemsh_r,Biceps femoris SH,5.0,-0.0006293404057186135,0.0031020257814249326,0.6337180219806944,0.8248724566566664,-20.266602823896154,24.614754563621197,2.0,38.0
glut_med1_r,Glut. medius,-5.0,-0.4711674931321664,0.6242006371493243,-1.570949343420528,1.685477253271507,10.493058134562188,12.965408784277562,0.0,0.0
glut_med1_r,Glut. medius,-2.0,-0.17471153864953956,0.2361673113004122,-0.6192835682106306,0.6660990048387937,4.256377187843399,5.243946261306027,0.0,0.0
glut_med1_r,Glut. medius,2.0,0.15623297267858094,0.21796236491259074,0.6065417279178007,0.6546214851566649,-4.330691801190585,5.315883698038049,0.0,0.0
glut_med1_r,Glut. medius,5.0,0.35571122480139633,0.5104552810618257,1.4913640447138345,1.6137973741181162,-10.95764986370552,13.4151383278629,0.0,0.0
med_gas_r,Med. gastrocnemius,-5.0,-1.24080275082813,1.2542516390981933,-1.1170538603328921,1.1280404736847276,-3.9468644552497536,4.290036562609922,1.0,1.0
med_gas_r,Med. gastrocnemius,-2.0,-0.48640711432439715,0.49889075092333723,-0.4461985450536777,0.4495061008963305,-1.3620548876026801,1.5815327691008023,1.0,1.0
med_gas_r,Med. gastrocnemius,2.0,0.470146610482296,0.4914614715273792,0.4448981209477787,0.44826239511820737,1.0312038277631725,1.6127411801687093,1.0,0.0
med_gas_r,Med. gastrocnemius,5.0,1.12587644918856,1.1686608916178172,1.1083758489496205,1.1169547476499888,1.5171496865452634,2.6617930462248385,2.0,0.0
rect_fem_r,Rect. femoris,-5.0,1.5666502314872812,1.7010013923597838,1.8406772320769977,1.92308715103875,0.426320659041292,1.0421295406788134,1.0,1.0
rect_fem_r,Rect. femoris,-2.0,0.6371758510096489,0.6920407458928749,0.7302862324389626,0.7646732538864753,0.24946861457596425,0.5031523357540212,1.0,1.0
rect_fem_r,Rect. femoris,2.0,-0.6481279544865158,0.70754211811267,-0.7105278914243965,0.7360703047262355,-0.3851667068726424,0.667658309413104,1.0,1.0
rect_fem_r,Rect. femoris,5.0,-1.6247461293876437,1.7714737224860957,-1.751627675898658,1.8432017459303327,-1.0888522551204391,1.7092330782567273,1.0,1.0
semimem_r,Semimembranosus,-5.0,-1.1380137830085542,1.1744529224625826,-1.3801940079246886,1.5331291702710534,0.863210491964382,1.7849777421125887,1.0,1.0
semimem_r,Semimembranosus,-2.0,-0.4493364290860086,0.4608759831806438,-0.5574038162622905,0.6178035997979937,0.444587924735685,0.8409480819471827,0.0,1.0
semimem_r,Semimembranosus,2.0,0.44138505420018176,0.4706533639573265,0.5643979798850437,0.6202649705457288,-0.5808621379544213,1.0260684624793766,1.0,0.0
semimem_r,Semimembranosus,5.0,1.1037555582048808,1.1542915106094966,1.2134603398789465,1.5644575732348662,0.2783821350907192,3.107146396900089,1.0,5.0
semiten_r,Semitendinosus,-5.0,-1.2546683171180735,1.298526599554288,-1.381258652399656,1.5536624169037383,-0.34285987930359224,1.219707094822049,1.0,1.0
semiten_r,Semitendinosus,-2.0,-0.49632146148728257,0.5203467103749402,-0.5634070759126547,0.6324272513621348,-0.0046243638890911916,0.43864578590603226,1.0,0.0
semiten_r,Semitendinosus,2.0,0.4981227592748374,0.5175074145763674,0.5781185149811475,0.6462115559081015,-0.09439933533021605,0.46315872849418943,1.0,1.0
semiten_r,Semitendinosus,5.0,1.2341044048763725,1.2709039918336122,1.380796604277669,1.6273878982992256,0.19556900279381104,2.1103498375912677,1.0,6.0
soleus_r,Soleus,-5.0,-1.2499607031753854,1.2700238359107925,-1.524358551859894,1.5372233892689313,2.02934064882379,2.3393020600924124,0.0,0.0
soleus_r,Soleus,-2.0,-0.49368834797326117,0.501960967298896,-0.6098253731336144,0.6158680999994492,0.8939307597152774,1.0166266493824838,0.0,0.0
soleus_r,Soleus,2.0,0.4847406542441401,0.49332827028340215,0.6090738796040962,0.6162786235654936,-1.0004105056102137,1.1213261465422146,0.0,0.0
soleus_r,Soleus,5.0,1.1940777617610878,1.2161098671276531,1.5197003164558536,1.5398261854449555,-2.6947811950430256,2.9936320028318004,0.0,0.0
tib_ant_r,Tib. anterior,-5.0,1.0219403386722437,1.0487295772392973,1.2674268931047081,1.2778259864137238,-2.491888147138765,2.636230154250992,0.0,0.0
tib_ant_r,Tib. anterior,-2.0,0.4135172433128371,0.4240527694040799,0.5086679664882182,0.5125307109819248,-0.9483687737655702,1.0077084705075257,0.0,0.0
tib_ant_r,Tib. anterior,2.0,-0.41959568308773315,0.4298763256646169,-0.5103779993208674,0.5138078967758241,0.879651296972206,0.9413988927791119,0.0,0.0
tib_ant_r,Tib. anterior,5.0,-1.0599066698078747,1.085100522690875,-1.2780179261728735,1.285701346683239,2.0613835904124933,2.220867322019829,0.0,0.0
vas_lat_r,Vast. lateralis,-5.0,1.8421861728300712,1.852389277306429,0.49972462793102695,0.8431596576995125,5.478589433115633,6.331507424814268,0.0,2.0
vas_lat_r,Vast. lateralis,-2.0,0.7323540168331917,0.7396303689494942,0.11497631778387275,0.25136009603191,2.4058447256397044,2.7129406937207015,0.0,2.0
vas_lat_r,Vast. lateralis,2.0,-0.7243808555423267,0.7331065698272649,-0.027773559994068175,0.13442755023568662,-2.614046129070625,2.7367330226837465,0.0,2.0
vas_lat_r,Vast. lateralis,5.0,-1.7719718368716706,1.8151147901804596,-0.015011148440784676,0.15374827069849126,-6.537906312639222,6.805629349215581,0.0,5.0
