subject,segment_label,velocity_kmh,start_s,end_s,status,marker_ik,n_frames
rehema,ng_v1,3.57,42.45,43.95,ok,marker_ik/rehema_ng_ng_v1_marker_ik_42.45_43.95.mot,151
rehema,ng_v2,4.07,74.72,76.22,ok,marker_ik/rehema_ng_ng_v2_marker_ik_74.72_76.22.mot,151
rushda,ng_v0,3.56,6.98,8.48,ok,marker_ik/rushda_ng_ng_v0_marker_ik_6.98_8.48.mot,151
rushda,ng_v1,4.09,37.55,39.05,ok,marker_ik/rushda_ng_ng_v1_marker_ik_37.55_39.05.mot,151
rushda,ng_v2,4.6,68.0,69.5,ok,marker_ik/rushda_ng_ng_v2_marker_ik_68.00_69.50.mot,151
yaxkin,ng_v0,2.57,7.67,9.17,ok,marker_ik/yaxkin_ng_ng_v0_marker_ik_7.67_9.17.mot,151
yaxkin,ng_v1,3.02,56.04,57.54,ok,marker_ik/yaxkin_ng_ng_v1_marker_ik_56.04_57.54.mot,151
yaxkin,ng_v2,3.96,82.44,83.94,ok,marker_ik/yaxkin_ng_ng_v2_marker_ik_82.44_83.94.mot,151
ziri,ng_v0,3.59,6.94,8.440000000000001,ok,marker_ik/ziri_ng_ng_v0_marker_ik_6.94_8.44.mot,151
ziri,ng_v1,4.09,45.3,46.8,ok,marker_ik/ziri_ng_ng_v1_marker_ik_45.30_46.80.mot,151
ziri,ng_v2,4.59,74.26,75.76,ok,marker_ik/ziri_ng_ng_v2_marker_ik_74.26_75.76.mot,151
