comparison,subject,trial,muscle,muscle_label,rmse_m,nrmse_pct_of_base_rom,corr,peak_delta_m,min_delta_m,rom_delta_pct
scaled_vs_unscaled,S135,S135_G03_D01_B01_T01,glut_med1_r,Glut. medius,0.0007811921037989523,3.032341800580247,0.9999995612114566,0.0011961496477087274,8.15021130961685e-05,4.326710799664273
scaled_vs_unscaled,S135,S135_G03_D01_B01_T01,rect_fem_r,Rect. femoris,0.024383634475257824,30.386662891739203,0.9999957313328383,0.023809886324639762,0.025267714274463948,-1.8167318949278355
scaled_vs_unscaled,S135,S135_G03_D01_B01_T01,vas_lat_r,Vast. lateralis,0.013442800506707575,23.470938231528223,0.9999228588733781,0.012991590993989055,0.015174304793756616,-3.810987208051343
scaled_vs_unscaled,S135,S135_G03_D01_B01_T01,tib_ant_r,Tib. anterior,7.113855651532046e-05,0.3539996651583991,0.9999942336825427,5.937595525884465e-05,0.00014327643868417006,-0.41750556230075636
scaled_vs_unscaled,S135,S135_G03_D01_B01_T01,soleus_r,Soleus,0.0048050091980035795,21.105969419538,0.9999990121198545,-0.0038801834978184346,-0.0059571212496069,9.122934602028351
scaled_vs_unscaled,S135,S135_G03_D01_B01_T01,med_gas_r,Med. gastrocnemius,0.008300232125898565,44.10898697005512,0.999929157364951,-0.007440651343306515,-0.009156685887822202,9.119328738774596
scaled_vs_unscaled,S135,S135_G03_D01_B01_T01,semimem_r,Semimembranosus,0.02291129783979533,50.83819026440884,0.9998864406532398,0.022425541621065637,0.023367328974722157,-2.0897447629807413
scaled_vs_unscaled,S135,S135_G03_D01_B01_T01,semiten_r,Semitendinosus,0.0215459977136085,40.48302681260532,0.9998678956090042,0.020893513762917704,0.022085081967108233,-2.23885141920468
scaled_vs_unscaled,S135,S135_G03_D01_B01_T01,bifemlh_r,Biceps femoris LH,0.022483603046940765,40.73145299957827,0.9999299759586753,0.021859692832097155,0.022948035088565633,-1.9716484664068328
scaled_vs_unscaled,S135,S135_G03_D01_B01_T01,bifemsh_r,Biceps femoris SH,0.009585927450170815,106.72855044046976,0.99998341996565,0.009482461763533512,0.00968234536804169,-2.225479743808596
