subject,trial,muscle,muscle_label,rmse_m,nrmse_pct_of_sagittal_rom,corr,peak_delta_pct,min_delta_pct,rom_delta_pct
S135,S135_G03_D01_B01_T01,glut_med1_r,Glut. medius,0.005877452335077813,52.9484852102334,0.8610118719293863,5.212324234917283,-7.017753399587964,132.08342039939268
S135,S135_G03_D01_B01_T01,rect_fem_r,Rect. femoris,0.0019505342538575767,2.292822615622518,0.9995638080675036,-0.735749266313242,0.49695330604352306,-5.673806959467947
S135,S135_G03_D01_B01_T01,vas_lat_r,Vast. lateralis,3.208901866341965e-17,5.602696957257333e-14,0.9999999999999997,-2.703546692498712e-14,1.8747065868521752e-14,-1.4538251918487125e-13
S135,S135_G03_D01_B01_T01,tib_ant_r,Tib. anterior,4.8153331957290236e-17,2.3962059710152933e-13,1.0,1.749263787744819e-14,0.0,2.762345753275227e-13
S135,S135_G03_D01_B01_T01,soleus_r,Soleus,5.032208111425394e-17,2.2103939063555628e-13,0.9999999999999999,0.0,0.0,0.0
S135,S135_G03_D01_B01_T01,med_gas_r,Med. gastrocnemius,6.46516824044017e-17,3.4357114036243803e-13,1.0,0.0,0.0,0.0
S135,S135_G03_D01_B01_T01,semimem_r,Semimembranosus,0.0018152373681885837,3.701312111181918,0.997223825103475,-0.2654052319578608,0.6993233455298914,-8.107113440027208
S135,S135_G03_D01_B01_T01,semiten_r,Semitendinosus,0.0034145177058655506,5.630573988020753,0.9935979347171793,-0.45889834737132973,1.145158493675773,-12.235893885484412
S135,S135_G03_D01_B01_T01,bifemlh_r,Biceps femoris LH,0.002486419994028617,4.115186198421285,0.9972771334910628,-0.2804618528311318,0.9749328941015705,-8.641069409809479
S135,S135_G03_D01_B01_T01,bifemsh_r,Biceps femoris SH,4.401557806474538e-17,4.90064093231362e-13,0.9999999999999999,-2.1983795784831855e-14,2.2794584419850187e-14,-1.2361088136731592e-12
S135,S135_G03_D01_B01_T02,glut_med1_r,Glut. medius,0.005734150058464038,57.80172349291893,0.8423156326002711,6.759761111303453,-5.77778099250473,154.39851558846632
S135,S135_G03_D01_B01_T02,rect_fem_r,Rect. femoris,0.0018179595355252629,2.1374825232936265,0.9996045407173437,-0.633231469440015,0.6151042967704072,-5.5478403886951515
S135,S135_G03_D01_B01_T02,vas_lat_r,Vast. lateralis,3.1610051209766665e-17,5.754784833955709e-14,0.9999999999999999,1.367300559711387e-14,0.0,5.0530562114743006e-14
S135,S135_G03_D01_B01_T02,tib_ant_r,Tib. anterior,4.349260213447638e-17,1.925514427617545e-13,1.0,0.0,0.0,0.0
S135,S135_G03_D01_B01_T02,soleus_r,Soleus,4.278535821789286e-17,1.6655242806909664e-13,1.0,-1.855981959836554e-14,2.030368335755773e-14,-4.3218135397591854e-13
S135,S135_G03_D01_B01_T02,med_gas_r,Med. gastrocnemius,6.100978051313799e-17,2.752700988276535e-13,0.9999999999999994,0.0,1.268983061015681e-14,-2.504608270500925e-13
S135,S135_G03_D01_B01_T02,semimem_r,Semimembranosus,0.0016936873476333357,3.3885949361456955,0.9972630711361299,-0.3414230988612885,0.5773824881873048,-7.767654153738385
S135,S135_G03_D01_B01_T02,semiten_r,Semitendinosus,0.0032149934585790118,5.15896798289316,0.993750196323304,-0.5657457578291027,0.9610732273214782,-11.622359335017293
S135,S135_G03_D01_B01_T02,bifemlh_r,Biceps femoris LH,0.0022650393708331805,3.6463424189053755,0.9974649257489097,-0.3635285682826962,0.7947206480795795,-7.969622574803142
S135,S135_G03_D01_B01_T02,bifemsh_r,Biceps femoris SH,3.6846780968307765e-17,4.801438642153313e-13,0.9999999999999998,-2.1984770509966006e-14,1.1336946124383927e-14,-1.0850339415867514e-12
S135,S135_G03_D01_B01_T03,glut_med1_r,Glut. medius,0.005865949322441637,56.98666087330621,0.8418254278317108,7.912072460013022,-3.9428457549250546,142.02994573816204
S135,S135_G03_D01_B01_T03,rect_fem_r,Rect. femoris,0.0017633036276276702,2.0331148414177282,0.9996542842866694,-0.4771400883636232,0.7685053703916559,-5.303011685377741
S135,S135_G03_D01_B01_T03,vas_lat_r,Vast. lateralis,3.302612119786006e-17,5.787969426059025e-14,1.0,0.0,-3.7495493659157255e-14,9.728567402964585e-14
S135,S135_G03_D01_B01_T03,tib_ant_r,Tib. anterior,4.384194591626931e-17,2.0907683560160491e-13,1.0,0.0,-3.737025038414083e-14,5.294516745310164e-13
S135,S135_G03_D01_B01_T03,soleus_r,Soleus,4.846909489443982e-17,2.032804725644472e-13,1.0,0.0,-4.045108429538992e-14,4.656300300000476e-13
S135,S135_G03_D01_B01_T03,med_gas_r,Med. gastrocnemius,5.974650125132981e-17,3.012508070956818e-13,1.0,0.0,2.533252641389291e-14,-5.597910759955893e-13
S135,S135_G03_D01_B01_T03,semimem_r,Semimembranosus,0.0016532642249063164,3.173543356407989,0.9979885023008743,-0.4584576755046034,0.41810317827654686,-7.220116915738947
S135,S135_G03_D01_B01_T03,semiten_r,Semitendinosus,0.00316718256248613,4.8945300781611705,0.9952861145347078,-0.7520888507733616,0.7022925797223798,-10.838570672756145
S135,S135_G03_D01_B01_T03,bifemlh_r,Biceps femoris LH,0.0021720998215797745,3.399713840816553,0.9979727750137194,-0.48894241935146493,0.5359738770632859,-7.000222657682126
S135,S135_G03_D01_B01_T03,bifemsh_r,Biceps femoris SH,3.558308479930846e-17,4.0286733199704754e-13,0.9999999999999999,0.0,-3.417434795446673e-14,9.427356924822926e-13
S146,S146_G03_D01_B01_T01,glut_med1_r,Glut. medius,0.0048203085059359005,37.91144464564273,0.9505619343594741,6.156650536014227,-5.552134962331825,110.1587654481698
S146,S146_G03_D01_B01_T01,rect_fem_r,Rect. femoris,0.0010156593115970254,1.2702047839018205,0.9998735714986374,-0.39684161580437394,0.3412488082602941,-3.5778808412407237
