task,n_segments,n_subjects,median_key_joint_corr,median_mtu_corr,median_mtu_nrmse_pct,median_mtu_rom_mm
gwo,54,18,0.7467288607447659,0.7020242537101389,45.52045144218444,15.49509991592775
ng,55,18,0.9263927131922006,0.8793394805594033,23.412878881560065,24.40336671344215
rd,76,19,0.934241059595657,0.9131517079954548,83.18652686970964,4.622327617072051
rgs,72,18,0.9894165364442149,0.9748051020436117,17.43443762494004,35.01943112419985
