subject,task,segment_label,start_s,end_s,velocity_kmh,status,marker_ik,n_frames
darryl,gwo,gwo_v1,39.11,40.61,4.56,ok,/home/ilab/venv/OpenSim_Based_Estimation_of_Muscle_Tendon_Length_Trajectories_from_Commercial_IMU_Derived_Gait_Kinematics-2/gaitex_extra_tasks/marker_ik/darryl_gwo_gwo_v1_marker_ik_39.11_40.61.mot,151
darryl,gwo,gwo_v2,69.3,70.8,5.14,ok,/home/ilab/venv/OpenSim_Based_Estimation_of_Muscle_Tendon_Length_Trajectories_from_Commercial_IMU_Derived_Gait_Kinematics-2/gaitex_extra_tasks/marker_ik/darryl_gwo_gwo_v2_marker_ik_69.30_70.80.mot,151
darryl,rd,rd_correct,23.828,25.328,,ok,/home/ilab/venv/OpenSim_Based_Estimation_of_Muscle_Tendon_Length_Trajectories_from_Commercial_IMU_Derived_Gait_Kinematics-2/gaitex_extra_tasks/marker_ik/darryl_rd_rd_correct_marker_ik_23.83_25.33.mot,151
darryl,rd,rd_toes,66.235,67.735,,ok,/home/ilab/venv/OpenSim_Based_Estimation_of_Muscle_Tendon_Length_Trajectories_from_Commercial_IMU_Derived_Gait_Kinematics-2/gaitex_extra_tasks/marker_ik/darryl_rd_rd_toes_marker_ik_66.23_67.73.mot,151
darryl,rd,rd_supination,118.541,120.041,,ok,/home/ilab/venv/OpenSim_Based_Estimation_of_Muscle_Tendon_Length_Trajectories_from_Commercial_IMU_Derived_Gait_Kinematics-2/gaitex_extra_tasks/marker_ik/darryl_rd_rd_supination_marker_ik_118.54_120.04.mot,151
darryl,rd,rd_pronation,159.811,161.311,,ok,/home/ilab/venv/OpenSim_Based_Estimation_of_Muscle_Tendon_Length_Trajectories_from_Commercial_IMU_Derived_Gait_Kinematics-2/gaitex_extra_tasks/marker_ik/darryl_rd_rd_pronation_marker_ik_159.81_161.31.mot,151
darryl,rgs,rgs_correct,28.158,29.658,,ok,/home/ilab/venv/OpenSim_Based_Estimation_of_Muscle_Tendon_Length_Trajectories_from_Commercial_IMU_Derived_Gait_Kinematics-2/gaitex_extra_tasks/marker_ik/darryl_rgs_rgs_correct_marker_ik_28.16_29.66.mot,151
darryl,rgs,rgs_flexion,110.993,112.493,,ok,/home/ilab/venv/OpenSim_Based_Estimation_of_Muscle_Tendon_Length_Trajectories_from_Commercial_IMU_Derived_Gait_Kinematics-2/gaitex_extra_tasks/marker_ik/darryl_rgs_rgs_flexion_marker_ik_110.99_112.49.mot,151
darryl,rgs,rgs_abduction,187.026,188.526,,ok,/home/ilab/venv/OpenSim_Based_Estimation_of_Muscle_Tendon_Length_Trajectories_from_Commercial_IMU_Derived_Gait_Kinematics-2/gaitex_extra_tasks/marker_ik/darryl_rgs_rgs_abduction_marker_ik_187.03_188.53.mot,151
darryl,rgs,rgs_stork,288.715,290.215,,ok,/home/ilab/venv/OpenSim_Based_Estimation_of_Muscle_Tendon_Length_Trajectories_from_Commercial_IMU_Derived_Gait_Kinematics-2/gaitex_extra_tasks/marker_ik/darryl_rgs_rgs_stork_marker_ik_288.71_290.21.mot,151
