task,segment_label,muscle,muscle_label,n_segments,median_imu_rom_mm,median_omc_rom_mm,median_mtu_corr,median_mtu_nrmse_pct,median_peak_phase_difference_pct_gait
ng,ng_v1,tib_ant_r,Tib. anterior,18,23.888592141820624,22.655520350741114,0.8038712116868793,21.870504878169335,19.0
ng,ng_v1,vas_lat_r,Vast. lateralis,18,57.005469352576085,56.24932067788095,0.9833009616715762,7.137052581146856,11.0
ng,ng_v2,bifemlh_r,Biceps femoris LH,18,43.46238688352813,54.241991761042804,0.9493308359505885,18.045611313279686,2.0
ng,ng_v2,bifemsh_r,Biceps femoris SH,18,6.534329578429865,7.4873993974967075,0.8936977795508123,14.380654916154535,20.0
ng,ng_v2,glut_med1_r,Glut. medius,18,12.938384797051352,34.14235557617128,0.7894419827043984,60.52398243157171,7.0
ng,ng_v2,med_gas_r,Med. gastrocnemius,18,25.180676412281944,21.28533264525939,0.8645726866085639,18.917066037285082,6.0
ng,ng_v2,rect_fem_r,Rect. femoris,18,72.78471930675445,84.80636569466807,0.9826601339830501,10.35052618873231,2.5
ng,ng_v2,semimem_r,Semimembranosus,18,32.67577529617924,41.94712573798681,0.9328050678656313,18.808439261266656,8.5
ng,ng_v2,semiten_r,Semitendinosus,18,41.973578893748616,51.710124804705075,0.9290889903041828,19.192360228878677,2.5
ng,ng_v2,soleus_r,Soleus,18,26.809858764127586,24.06356716895841,0.9520123532452125,14.471651475252486,4.0
ng,ng_v2,tib_ant_r,Tib. anterior,18,24.681290646365454,21.800322956118336,0.8264482956542603,21.15311785008937,32.0
ng,ng_v2,vas_lat_r,Vast. lateralis,18,58.25116228750496,57.8361889405951,0.9845538867506773,7.29904208289129,1.0
ng,ng_v3,bifemlh_r,Biceps femoris LH,1,55.37864490227678,59.744011780994036,0.8730152821299957,16.3508625802605,2.0
ng,ng_v3,bifemsh_r,Biceps femoris SH,1,9.46408656706421,6.195651624978704,0.6627482618013294,19.78367274559755,50.0
ng,ng_v3,glut_med1_r,Glut. medius,1,28.40008415215675,28.02793359114092,0.5122646354344714,26.97392895278165,57.0
ng,ng_v3,med_gas_r,Med. gastrocnemius,1,33.04715526948565,27.611721724762674,0.764643361997925,17.76423017448297,11.0
ng,ng_v3,rect_fem_r,Rect. femoris,1,83.67281901675194,89.4015890871494,0.9588972506211907,13.527281444882181,6.0
ng,ng_v3,semimem_r,Semimembranosus,1,43.45030877301187,46.66691711471077,0.8454702624725121,16.24963091200475,20.0
ng,ng_v3,semiten_r,Semitendinosus,1,55.2091415084055,59.4086880344249,0.8590098724288735,16.238786771963436,3.0
ng,ng_v3,soleus_r,Soleus,1,34.84676904914596,29.29224059311325,0.8466292881046755,16.608603457868927,16.0
ng,ng_v3,tib_ant_r,Tib. anterior,1,27.240027695083825,27.21397904100431,0.5590389516391091,22.731160185994334,0.0
ng,ng_v3,vas_lat_r,Vast. lateralis,1,66.73225523571924,59.39543345003109,0.9739426430313377,13.738291497671343,0.0
rd,rd_correct,bifemlh_r,Biceps femoris LH,19,3.9957439380862714,3.6032448884728563,0.8649792238719338,269.74326543044594,4.0
rd,rd_correct,bifemsh_r,Biceps femoris SH,19,1.003788496324376,1.0320537258028395,0.9486612341987152,60.4405195676521,5.0
rd,rd_correct,glut_med1_r,Glut. medius,19,1.9691874541754029,3.1768282941536663,0.6030352810359308,188.09662897000658,17.0
rd,rd_correct,med_gas_r,Med. gastrocnemius,19,20.604680770186732,17.934616498736844,0.9780075766884082,16.33754176921022,4.0
rd,rd_correct,rect_fem_r,Rect. femoris,19,6.114670911808895,6.462592063325612,0.9394448399303903,173.10001063549885,5.0
rd,rd_correct,semimem_r,Semimembranosus,19,4.299905502151702,3.4245520503757287,0.5318715381504203,197.47527502207612,24.0
rd,rd_correct,semiten_r,Semitendinosus,19,4.45724465630698,3.6344403194837893,0.5335520032453073,216.1539164790579,22.0
rd,rd_correct,soleus_r,Soleus,19,19.51982706632249,17.004398628752526,0.9803090070141621,14.785273225200468,3.0
rd,rd_correct,tib_ant_r,Tib. anterior,19,21.41621458895915,19.06493633837275,0.9785863488835641,21.80764799397849,3.0
rd,rd_correct,vas_lat_r,Vast. lateralis,19,5.501708045560383,5.6792189439719145,0.9413319894678948,62.998465901446544,5.0
rd,rd_pronation,bifemlh_r,Biceps femoris LH,19,3.7345615713046953,4.200994600432939,0.7047968732970422,248.48255181630475,5.0
rd,rd_pronation,bifemsh_r,Biceps femoris SH,19,0.7634170004151564,0.7444786786369173,0.9512419941816183,59.80183225685147,9.0
rd,rd_pronation,glut_med1_r,Glut. medius,19,2.8075486069981253,2.7827939165844806,0.4481941566470052,231.4722915181125,33.0
rd,rd_pronation,med_gas_r,Med. gastrocnemius,19,16.847258810472997,15.28302413762389,0.978072639427729,16.494046120940105,2.0
rd,rd_pronation,rect_fem_r,Rect. femoris,19,6.661613283139689,7.70745336269163,0.9247454758761958,119.61136492504582,5.0
rd,rd_pronation,semimem_r,Semimembranosus,19,2.5600990182104155,4.036309393248283,0.5476239017584146,240.20530429975727,5.0
rd,rd_pronation,semiten_r,Semitendinosus,19,3.93318251488306,4.300859754878594,0.47034517235442475,275.44265600794296,6.0
rd,rd_pronation,soleus_r,Soleus,19,15.74443104840223,14.041517330619035,0.9898656396839854,16.361180500389256,1.0
rd,rd_pronation,tib_ant_r,Tib. anterior,19,15.47741166077843,15.380341289292666,0.9609463555565512,62.76944986573588,27.0
rd,rd_pronation,vas_lat_r,Vast. lateralis,19,6.445720652327125,8.268603117776275,0.9657702950579368,77.97618364196578,5.0
rd,rd_supination,bifemlh_r,Biceps femoris LH,19,2.706401360436761,3.6400588335618878,0.7772729677432366,309.8387652611831,8.0
rd,rd_supination,bifemsh_r,Biceps femoris SH,19,0.492758406313909,0.8008344130375766,0.8388055569744524,121.20726523943756,9.0
rd,rd_supination,glut_med1_r,Glut. medius,19,2.21847676287773,4.164304674843411,0.8341468215760696,233.432742903355,17.0
rd,rd_supination,med_gas_r,Med. gastrocnemius,19,17.011357868091824,14.736335161659508,0.9651274333616124,18.669563033283897,3.0
rd,rd_supination,rect_fem_r,Rect. femoris,19,4.157210970608505,5.443318298616607,0.8700495978965188,218.84369280833766,4.0
rd,rd_supination,semimem_r,Semimembranosus,19,2.905596030548574,3.27370432812768,0.8331474685350174,243.45834789273155,11.0
rd,rd_supination,semiten_r,Semitendinosus,19,3.86786472201206,4.17382302099778,0.8856466752126279,223.89465109208007,6.0
rd,rd_supination,soleus_r,Soleus,19,15.83392673349171,13.153439731534656,0.9750570187057193,19.256471879833114,2.0
rd,rd_supination,tib_ant_r,Tib. anterior,19,23.305581294920774,17.165150360807846,0.961562472819684,21.282564153834684,3.0
rd,rd_supination,vas_lat_r,Vast. lateralis,19,3.413116955313711,4.731608322601749,0.8710821924588238,109.81734537397136,8.0
rd,rd_toes,bifemlh_r,Biceps femoris LH,19,2.518715956221884,2.843564745527827,0.6671668277088402,364.57486197296976,10.0
rd,rd_toes,bifemsh_r,Biceps femoris SH,19,0.6978813767291592,0.6472032840039721,0.8568756643536014,67.96083379533037,4.0
rd,rd_toes,glut_med1_r,Glut. medius,19,1.7613839308804335,2.8423726153225943,0.8007492833492471,221.82888537184468,17.0
rd,rd_toes,med_gas_r,Med. gastrocnemius,19,18.897286345751162,18.030870250825835,0.9653698697490966,15.54466063812562,3.0
rd,rd_toes,rect_fem_r,Rect. femoris,19,3.758226742919757,3.580826051354069,0.6980142502374285,216.65758049153462,7.0
rd,rd_toes,semimem_r,Semimembranosus,19,2.057402729322755,2.486530287013622,0.6675835992966672,371.050392164218,10.0
rd,rd_toes,semiten_r,Semitendinosus,19,2.712744077476792,2.8296881343227165,0.6521152248234946,352.96765589761026,5.0
rd,rd_toes,soleus_r,Soleus,19,18.43176048535289,16.23892512102254,0.9714645219607035,17.550551786453838,2.0
rd,rd_toes,tib_ant_r,Tib. anterior,19,24.97935828239295,18.48846732123832,0.9648503333760872,17.700632148864273,4.0
rd,rd_toes,vas_lat_r,Vast. lateralis,19,3.605868647929278,3.7849076918495816,0.8759737225257785,82.62606444016137,6.0
rgs,rgs_abduction,bifemlh_r,Biceps femoris LH,18,39.80139573788041,40.85333256381701,0.9904373767167358,25.84833714167609,1.0
rgs,rgs_abduction,bifemsh_r,Biceps femoris SH,18,2.692893186556966,3.2274698612629047,0.9139552388285623,26.454203851647378,4.5
rgs,rgs_abduction,glut_med1_r,Glut. medius,18,14.156922371689987,18.53666932377636,0.8701204392622639,50.48381300796939,6.5
rgs,rgs_abduction,med_gas_r,Med. gastrocnemius,18,37.41410790032174,27.83897604774105,0.9802041441967653,12.585883399766008,1.0
rgs,rgs_abduction,rect_fem_r,Rect. femoris,18,39.637856698507164,51.99444193591152,0.9782853352331438,27.37734408714411,3.0
rgs,rgs_abduction,semimem_r,Semimembranosus,18,33.42483910287852,33.60496453500569,0.988034471110864,20.60272019320862,2.5
rgs,rgs_abduction,semiten_r,Semitendinosus,18,39.32949432687019,40.95109483729908,0.9887742665236896,23.716051662486336,4.0
rgs,rgs_abduction,soleus_r,Soleus,18,35.90379688032905,29.561698724964224,0.983814860994825,13.628031253994305,0.0
rgs,rgs_abduction,tib_ant_r,Tib. anterior,18,33.537404619090935,29.593264354884933,0.9571884338622441,17.099053421984284,7.5
rgs,rgs_abduction,vas_lat_r,Vast. lateralis,18,29.643382367034484,34.587942106585515,0.9820658550770461,15.724250924708413,2.0
rgs,rgs_correct,bifemlh_r,Biceps femoris LH,18,43.710245783465076,48.75127662623135,0.9874345821845629,17.116392722197453,2.0
rgs,rgs_correct,bifemsh_r,Biceps femoris SH,18,5.261603747620164,6.2246130351324975,0.9478765806143417,12.64881983073256,6.0
rgs,rgs_correct,glut_med1_r,Glut. medius,18,10.17883966126075,16.649753458052015,0.8440754627744551,64.60276717996862,19.0
rgs,rgs_correct,med_gas_r,Med. gastrocnemius,18,20.715963423321938,18.127116126427172,0.9315104186067651,16.322837634142132,4.0
rgs,rgs_correct,rect_fem_r,Rect. femoris,18,64.48808137088335,72.23508864332514,0.9923083022206182,12.001781331105771,1.5
rgs,rgs_correct,semimem_r,Semimembranosus,18,35.46369606682609,38.11932138252791,0.983084944484475,18.313029362511443,3.0
rgs,rgs_correct,semiten_r,Semitendinosus,18,42.582338455327275,45.30789552128814,0.9756842802120036,17.25846805783014,3.5
rgs,rgs_correct,soleus_r,Soleus,18,16.92495558439408,15.103198083079361,0.9475406930506918,16.730126082497335,7.0
