subject,task,segment_label,start_s,end_s,velocity_kmh,coordinate,rmse_deg,nrmse_pct_of_imu_rom,corr,imu_rom_deg,omc_rom_deg,mean_bias_deg
austra,ng,ng_v0,200.59,202.09,3.54,pelvis_tilt,12.299369827705702,193.54422545258825,0.36541390951036223,6.3548110510373395,42.58174301,-6.1535759267223
austra,ng,ng_v0,200.59,202.09,3.54,pelvis_list,17.075655946577005,343.1595537633057,-0.11594014966688504,4.976010651405304,56.64640566,6.464091932576892
austra,ng,ng_v0,200.59,202.09,3.54,pelvis_rotation,14.4231155989657,156.82008468167453,-0.0327538703167824,9.197237476464096,43.06614279,-7.229019200993963
austra,ng,ng_v0,200.59,202.09,3.54,hip_flexion_r,30.158795376473805,78.53328469774824,0.07725663467239142,38.40256458461687,101.90057311000001,-6.170170925416371
austra,ng,ng_v0,200.59,202.09,3.54,hip_adduction_r,26.746798258870186,235.36126552388527,0.41604873246235746,11.364146177296888,40.353202859999996,24.858855433534814
austra,ng,ng_v0,200.59,202.09,3.54,hip_rotation_r,25.239194883794983,117.80321870625603,-0.27014112299219073,21.424877147651856,88.56186166,5.965885978070492
austra,ng,ng_v0,200.59,202.09,3.54,knee_angle_r,19.0833674050095,23.590897357146023,0.8373764312988119,80.89292711550404,58.52373858,-11.016373140223001
austra,ng,ng_v0,200.59,202.09,3.54,ankle_angle_r,6.7646041750971335,18.86254255158118,0.8502519895739478,35.86263175602529,26.724176739999997,5.42872061138675
austra,ng,ng_v0,200.59,202.09,3.54,hip_flexion_l,23.43050099214026,61.17690198839113,0.8290318961672076,38.29958731252264,100.07323955,13.685301708153075
austra,ng,ng_v0,200.59,202.09,3.54,hip_adduction_l,11.422475340131118,91.64068740498135,0.585371123008917,12.464414730601664,41.97396967,-3.705734568970351
austra,ng,ng_v0,200.59,202.09,3.54,hip_rotation_l,17.289616459229517,74.25093161762783,-0.05226470347452502,23.28538657032124,61.41275957,-1.563789345544908
austra,ng,ng_v0,200.59,202.09,3.54,knee_angle_l,9.511157822945226,16.10160662267183,0.954960052319796,59.069619857393995,80.36999656,6.367821695744137
austra,ng,ng_v0,200.59,202.09,3.54,ankle_angle_l,4.493345739734578,9.618024396036716,0.957064162716083,46.71796987317005,34.50980062,3.6255733502835854
austra,ng,ng_v1,270.55,272.05,4.02,pelvis_tilt,10.71688064212291,178.12704586065396,-0.03851825605644371,6.016425293723536,40.133916060000004,-4.649017556171875
austra,ng,ng_v1,270.55,272.05,4.02,pelvis_list,12.834252376077773,258.7994163244675,0.25501994240399606,4.959150433317416,54.573379349999996,3.6322568184770394
austra,ng,ng_v1,270.55,272.05,4.02,pelvis_rotation,10.055096152531897,94.24903685278363,0.31957569592873686,10.668646055490084,40.46765844,-5.078122184330445
austra,ng,ng_v1,270.55,272.05,4.02,hip_flexion_r,24.801063422556883,56.76121474409157,0.23812691046864842,43.69367980296527,103.63164017,-7.5963727898936435
austra,ng,ng_v1,270.55,272.05,4.02,hip_adduction_r,15.43436096898566,74.92366348359532,0.3858917289700054,20.600115172378143,36.63571461,13.30655458736445
austra,ng,ng_v1,270.55,272.05,4.02,hip_rotation_r,25.162739650901635,115.57952815270743,-0.181652844948482,21.770931282619365,77.00508425,15.476742127073823
austra,ng,ng_v1,270.55,272.05,4.02,knee_angle_r,160.55702247236573,246.33779540282518,0.9053586807331607,65.17758357373216,90.39702324999999,160.23871398902088
austra,ng,ng_v1,270.55,272.05,4.02,ankle_angle_r,5.526852460905553,26.177978036466833,0.57316633722549,21.112602559320877,23.39926743,-0.11819183954693728
austra,ng,ng_v1,270.55,272.05,4.02,hip_flexion_l,19.645526825018923,50.42707780582234,0.8182201486842481,38.95828923632501,100.74873932999999,9.85947285508815
austra,ng,ng_v1,270.55,272.05,4.02,hip_adduction_l,9.75052136891636,76.80929025817068,0.3440170401172712,12.69445575677499,40.66741257,-2.340207316950456
austra,ng,ng_v1,270.55,272.05,4.02,hip_rotation_l,11.921125003556632,49.495673970318556,0.32246764358483804,24.085185728969897,65.6530376,-0.4840479546096624
austra,ng,ng_v1,270.55,272.05,4.02,knee_angle_l,8.149564566447607,14.290748795333036,0.9450691756115801,57.0268548076993,75.41813121999999,4.529912292417036
austra,ng,ng_v1,270.55,272.05,4.02,ankle_angle_l,4.9818118211520295,13.377950632160712,0.9633077409388741,37.23897596972521,26.686029230000003,4.103517519166306
austra,ng,ng_v2,340.01,341.51,4.46,pelvis_tilt,12.83229364298125,186.37537937196157,-0.08857020594384071,6.885187134815162,36.64120672,-0.7108491630105047
austra,ng,ng_v2,340.01,341.51,4.46,pelvis_list,24.530195383762187,333.673155161735,0.10248210440987533,7.351563949419946,27.022044400000002,22.758847037138437
austra,ng,ng_v2,340.01,341.51,4.46,pelvis_rotation,135.05445439232975,1748.7905647572588,-0.3233004574765118,7.722734620945076,44.62920998,-134.11645912927634
