task,segment_label,n_segments,n_subjects,median_key_joint_corr,median_mtu_corr,median_mtu_nrmse_pct,median_mtu_rom_mm
gwo,gwo_v0,18,18,0.7627620749846862,0.709919467156611,54.33384976698957,6.0628042676456
gwo,gwo_v1,18,18,0.7150686219963703,0.6902997624392713,40.51930631468419,20.01133576036795
gwo,gwo_v2,18,18,0.7516082742568242,0.7004887447920529,40.147561857757125,21.42078128442745
ng,ng_v0,18,18,0.8472205363552294,0.812214349964997,57.98309275855974,5.8139258832045
ng,ng_v1,18,18,0.9582718081893196,0.9101761320161359,16.32202696271885,29.24650808842555
ng,ng_v2,18,18,0.9353655411058461,0.905456460029809,18.218928840888427,29.76185323038815
ng,ng_v3,1,1,0.864307379750067,0.8460497752885938,16.479733019064714,39.148538911078845
rd,rd_correct,19,19,0.9528331490394848,0.9393421164014818,65.34215011475655,5.21986818811955
rd,rd_pronation,19,19,0.9461148359183358,0.9126329760489129,77.9796696292852,5.53803351467555
rd,rd_supination,19,19,0.9196313967660704,0.902640954688176,108.32172033592488,3.9843695191139
rd,rd_toes,19,19,0.9157789608451776,0.885391993623105,85.92288933145682,3.6795555641467503
rgs,rgs_abduction,18,18,0.9840837738983617,0.9722858620083001,19.24799465371315,31.460016003958298
rgs,rgs_correct,18,18,0.986085211126063,0.9616045679832339,17.26708749315932,27.87822170415895
rgs,rgs_flexion,18,18,0.9917618975891419,0.9789134384253682,17.682278945329145,36.431281672286595
rgs,rgs_stork,18,18,0.9952204481405741,0.9814842059236828,16.944280620603728,41.00382887540855
